id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	catalogNumber	individualCount	year	month	day	fieldNotes	waterBody	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	identifiedBy	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
urn:catalog:AADC:NSSD:NSSD-6010	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-6010	4	1999	04	02		Southern Ocean	Australia		0	0	-64.05	102.6	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5807	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5807	2	1997	07	16	loitered close to ship (3m) for about one hour whales noticed while vessel conducting survey operations	Southern Ocean	Australia		0	0	-22.0833333333	150.433333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-3872	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3872	30	1981	01	28	Lunge feeding.  Sighting was one and half hours.	Southern Ocean	Australia		0	0	-63.5833333333	-55.75	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5210	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5210	3	1991	07	20		Southern Ocean	Australia	North East of Vanuatu	0	0	-15.8666666667	167.333333333	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-5208	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-5208	1	1991	07	08		Southern Ocean	Australia	East of Vanuatu	0	0	-16.8	168.166666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4620	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4620	1	1984	09	14	swan with yacht, rolling in bow waves  See file part 1	Southern Ocean	Australia		0	0	-6.03333333333	76.4166666667	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4607	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4607	1	1983	01	18	Played under and around the boat for half and hour  See File part 1	Southern Ocean	Australia	Mid North Atlantic	0	0	16.6166666667	-48.65	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-3286	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3286	20	1984	08	11	swimming under boat and about boat - See file part 1	Southern Ocean	Australia	Bathurst Lighthouse -  Rottnes	0	0	-32.0166666667	115.5	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-4775	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-4775	1	1984	07	17	CHECK - to strandings database - stranded on beach See File part 1 - whale taken to Coffs Harbour dolphinarium but later died	Southern Ocean	Australia	Grafton	0	0	-29.6833333333	153	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
urn:catalog:AADC:NSSD:NSSD-3574	2005-07-01 00:00:00.0	see http://www1.data.antarctica.gov.au/aadc/metadata/citation.cfm?entry_id=DB_Cetacean_NSSD	http://data.marinemammals.gov.au/nmmdb	AADC	NSSD	HumanObservation	NSSD-3574	1	1990	04	07	-	Southern Ocean	Australia	south kerguelen plateau	0	0	-58.7166666667	76.4	500		Balaenoptera acutorostrata	Animalia	Chordata	Mammalia	Cetacea	Balaenopteridae	Balaenoptera	acutorostrata		Laciphde,1804
